"timeStamp","sixtyKTemp","threeKTemp","baseTemp"
1450084977,47.989,2.9661,2.94
1450084972,47.989,2.971,2.93
1450084967,47.989,2.9722,2.94
1450084961,47.989,2.9656,2.92
1450084956,47.988,2.9725,2.91
1450084951,47.987,2.9724,2.93
1450084946,47.987,2.9662,2.92
1450084941,47.987,2.9751,2.94
1450084935,47.988,2.9665,2.92
1450084930,47.988,2.9726,2.93
1450084925,47.988,2.9664,2.93
1450084920,47.987,2.9721,2.93
1450084914,47.987,2.9698,2.92
1450084909,47.985,2.9689,2.92
1450084904,47.984,2.9732,2.93
1450084899,47.983,2.9666,2.93
1450084893,47.984,2.9743,2.94
1450084888,47.982,2.966,2.93
1450084883,47.982,2.9753,2.91
1450084877,47.981,2.9664,2.96
1450084872,47.981,2.9751,2.91
1450084867,47.981,2.9693,2.95
1450084862,47.98,2.9736,2.94
1450084856,47.98,2.9736,2.93
1450084851,47.98,2.9711,2.94
1450084846,47.98,2.9749,2.94
1450084841,47.98,2.9689,2.94
1450084835,47.98,2.9769,2.93
1450084830,47.979,2.9683,2.95
1450084825,47.979,2.9764,2.91
1450084820,47.978,2.9697,2.95
1450084814,47.977,2.9741,2.95
1450084809,47.978,2.9734,2.97
1450084804,47.977,2.9717,2.93
1450084799,47.977,2.977,2.95
1450084793,47.977,2.9708,2.89
1450084788,47.976,2.9781,2.95
1450084783,47.976,2.97,2.95
1450084778,47.975,2.9781,2.91
1450084772,47.975,2.9701,2.95
1450084767,47.974,2.9761,2.93
1450084762,47.974,2.9736,2.98
1450084756,47.973,2.9754,2.94
1450084751,47.973,2.9775,2.95
1450084746,47.973,2.9711,2.94
1450084741,47.971,2.9792,2.92
1450084735,47.97,2.9704,2.98
1450084730,47.969,2.9778,2.96
1450084725,47.967,2.9721,2.93
1450084720,47.967,2.9785,2.95
1450084714,47.966,2.9748,2.91
1450084709,47.966,2.9783,2.92
1450084704,47.965,2.9768,2.92
1450084699,47.966,2.9757,2.94
1450084693,47.965,2.9804,2.98
1450084688,47.966,2.9741,2.94
1450084683,47.964,2.9817,2.95
1450084678,47.964,2.9737,2.96
1450084672,47.964,2.982,2.97
1450084667,47.964,2.9739,2.95
1450084662,47.963,2.9806,2.97
1450084656,47.963,2.9765,2.98
1450084651,47.962,2.9779,2.96
1450084646,47.962,2.9807,2.94
1450084641,47.961,2.9755,2.96
1450084635,47.961,2.9829,2.95
1450084630,47.96,2.9746,2.97
1450084625,47.96,2.983,2.97
1450084620,47.96,2.9769,3
1450084614,47.96,2.9811,2.94
1450084609,47.96,2.981,2.96
1450084604,47.959,2.9795,2.99
1450084599,47.959,2.9846,2.98
1450084593,47.959,2.9773,2.98
1450084588,47.958,2.9851,2.95
1450084583,47.957,2.9767,2.94
1450084578,47.957,2.985,2.97
1450084572,47.957,2.9782,2.94
1450084567,47.957,2.9845,2.96
1450084562,47.956,2.9802,2.95
1450084557,47.956,2.9841,2.98
1450084551,47.956,2.9823,2.95
1450084546,47.957,2.9815,2.97
1450084541,47.957,2.9861,2.97
1450084536,47.956,2.9798,2.95
1450084530,47.954,2.9875,2.95
1450084525,47.954,2.9785,2.94
1450084520,47.954,2.9863,2.98
1450084514,47.952,2.9811,2.97
1450084509,47.952,2.9849,2.98
1450084504,47.952,2.9822,2.97
1450084499,47.951,2.9835,2.97
1450084493,47.951,2.9846,2.96
1450084488,47.951,2.9811,2.96
1450084483,47.952,2.9875,2.98
1450084478,47.951,2.9803,2.99
1450084472,47.951,2.9886,2.96
1450084467,47.951,2.9799,2.97
1450084462,47.951,2.988,3
1450084457,47.951,2.9816,2.97
1450084451,47.953,2.987,2.97
1450084446,47.953,2.983,2.99
1450084441,47.952,2.9863,2.99
1450084435,47.951,2.985,2.97
